,buyprice,buytime,date,pnl,pos,quantity,sellprice,selltime,sl,target,type
106,275.1,14:30:00,2020-12-14,-104.79347678023032,closed,100.0,274.0520652321977,15:10:00,274.0520652321977,276.30687210946826,buy
107,270.3694840655429,09:55:00,2020-12-15,163.0515934457094,closed,100.0,272.0,09:15:00,272.32760896685136,270.3694840655429,sell
108,270.3956439159315,12:15:00,2020-12-15,-59.56439159314755,closed,100.0,269.8,10:00:00,270.3956439159315,267.9566367368503,sell
109,269.64669612703136,12:50:00,2020-12-15,-64.66961270313618,closed,100.0,269.0,12:25:00,269.64669612703136,267.6043560840685,sell
110,270.75,13:55:00,2020-12-15,107.10440696717569,closed,100.0,271.82104406967176,14:00:00,269.67895593032824,271.82104406967176,buy
111,271.65,14:05:00,2020-12-15,-123.92661267907101,closed,100.0,270.41073387320927,14:35:00,270.41073387320927,272.91029569643405,buy
112,272.15,09:15:00,2020-12-16,95.70875515742614,closed,100.0,273.10708755157424,09:15:00,271.1929124484257,273.10708755157424,buy
113,272.65,09:20:00,2020-12-16,-145.70875515742614,closed,100.0,271.1929124484257,10:05:00,271.1929124484257,274.10708755157424,buy
114,270.22785629822215,13:45:00,2020-12-16,-47.785629822215014,closed,100.0,269.75,12:30:00,270.22785629822215,268.4091410553572,sell
115,270.95,14:10:00,2020-12-16,-114.76027030557248,closed,100.0,269.80239729694426,14:55:00,269.80239729694426,272.17702702751126,buy
116,269.0216024344243,11:05:00,2020-12-17,-92.1602434424301,closed,100.0,268.1,09:15:00,269.0216024344243,265.76957999889584,sell
117,269.9,11:35:00,2020-12-17,161.8012906760839,closed,100.0,271.5180129067608,12:10:00,268.9780635528181,271.5180129067608,buy
118,271.55,12:15:00,2020-12-17,-136.50185222173263,closed,100.0,270.1849814777827,13:35:00,270.1849814777827,272.91501852221734,buy
119,268.43763478529957,14:25:00,2020-12-17,116.23652147004577,closed,100.0,269.6,13:45:00,270.4181639713591,268.43763478529957,sell
120,268.1450371831991,15:05:00,2020-12-17,75.49628168008553,closed,100.0,268.9,14:30:00,269.3336735943235,268.1450371831991,sell
121,268.23450824523565,09:15:00,2020-12-18,-78.45082452356564,closed,100.0,267.45,09:15:00,268.23450824523565,266.66549175476433,sell
122,266.0654917547643,09:50:00,2020-12-18,108.45082452356678,closed,100.0,267.15,09:20:00,268.23450824523565,266.0654917547643,sell
123,266.94548753198177,13:25:00,2020-12-18,-189.54875319817575,closed,100.0,265.05,09:55:00,266.94548753198177,262.8336766693432,sell
124,267.4,13:30:00,2020-12-18,102.13305543879301,closed,100.0,268.4213305543879,14:10:00,266.489143381961,268.4213305543879,buy
125,269.9,14:15:00,2020-12-18,189.35438606116008,closed,100.0,271.7935438606116,15:05:00,269.6474776934789,271.7935438606116,buy
126,268.3909632256008,09:50:00,2020-12-21,-79.09632256007626,closed,100.0,267.6,09:15:00,268.3909632256008,265.25258816790017,sell
127,265.1090367743992,12:50:00,2020-12-21,164.09632256007853,closed,100.0,266.75,10:30:00,266.98293408582134,265.1090367743992,sell
128,262.96059105143615,13:00:00,2020-12-21,168.94089485638233,closed,100.0,264.65,12:55:00,266.3394089485638,262.96059105143615,sell
129,261.1340787516633,13:35:00,2020-12-21,186.592124833669,closed,100.0,263.0,13:05:00,264.8498578379303,261.1340787516633,sell
130,259.2331151512764,13:55:00,2020-12-21,191.6884848723555,closed,100.0,261.15,13:40:00,262.7366767274661,259.2331151512764,sell
131,257.20379185075245,14:15:00,2020-12-21,199.62081492475363,closed,100.0,259.2,14:00:00,261.1962081492475,257.20379185075245,sell
132,254.4075328332787,14:30:00,2020-12-21,259.2467166721292,closed,100.0,257.0,14:20:00,259.05322045004914,254.4075328332787,sell
133,257.3728984050442,14:35:00,2020-12-21,-37.2898405044225,closed,100.0,257.0,14:35:00,257.3728984050442,256.6271015949558,sell
134,257.3728984050442,14:40:00,2020-12-21,-177.28984050442307,closed,100.0,255.6,14:40:00,257.3728984050442,253.82710159495576,sell
135,256.42710159495573,14:45:00,2020-12-21,47.289840504424774,closed,100.0,256.9,14:45:00,257.3728984050442,256.42710159495573,sell
136,255.0,15:20:00,2020-12-21,-155.00000000000114,closed,100.0,253.45,14:50:00,257.07578902919454,249.52710159495575,sell
137,250.12421097080545,09:40:00,2020-12-22,347.57890291945444,closed,100.0,253.6,09:25:00,256.98858290839337,250.12421097080545,sell
138,254.0452521557986,10:25:00,2020-12-22,-429.52521557986074,closed,100.0,249.75,09:45:00,254.0452521557986,245.4547478442014,sell
139,255.3,13:15:00,2020-12-22,312.24195917063184,closed,100.0,258.42241959170633,14:15:00,254.70972593827258,258.42241959170633,buy
140,258.15,14:20:00,2020-12-22,-54.99999999999545,closed,100.0,257.6,15:20:00,255.90312801000073,260.3968719899992,buy
141,258.0,09:20:00,2020-12-23,203.61540424337363,closed,100.0,260.03615404243374,09:55:00,256.28989445953493,260.03615404243374,buy
142,260.05,10:00:00,2020-12-23,252.8685487776727,closed,100.0,262.57868548777674,11:55:00,260.59362650496666,262.57868548777674,buy
143,261.85,12:05:00,2020-12-23,99.07361455300361,closed,100.0,262.84073614553006,12:35:00,261.25548833037504,262.84073614553006,buy
144,263.3,12:40:00,2020-12-23,-100.70841064409137,closed,100.0,262.2929158935591,13:05:00,262.2929158935591,264.75905445239624,buy
145,263.25,13:35:00,2020-12-23,-95.70841064409024,closed,100.0,262.2929158935591,14:30:00,262.2929158935591,264.2070841064409,buy
146,265.45,09:15:00,2020-12-24,192.0313582592712,closed,100.0,267.3703135825927,10:10:00,265.4034627478663,267.3703135825927,buy
147,267.0,10:15:00,2020-12-24,-112.76951742283359,closed,100.0,265.87230482577166,11:00:00,265.87230482577166,268.12769517422834,buy
148,267.7,11:35:00,2020-12-24,-73.4012092406715,closed,100.0,266.9659879075933,13:15:00,266.9659879075933,269.650838310318,buy
149,268.4,14:35:00,2020-12-24,-107.69944261960518,closed,100.0,267.3230055738039,14:50:00,267.3230055738039,269.47699442619603,buy
150,269.6,09:15:00,2020-12-28,193.87630911977567,closed,100.0,271.5387630911978,09:30:00,268.79235189612984,271.5387630911978,buy
151,270.9,09:35:00,2020-12-28,-126.57260159688803,closed,100.0,269.6342739840311,10:35:00,269.6342739840311,272.44619496413475,buy
152,270.8,12:10:00,2020-12-28,103.90606596657221,closed,100.0,271.83906065966573,12:45:00,270.61739143896665,271.83906065966573,buy
153,272.2,12:50:00,2020-12-28,98.24129344370363,closed,100.0,273.182412934437,14:05:00,271.9065551095413,273.182412934437,buy
154,273.0,14:10:00,2020-12-28,75.09403612716028,closed,100.0,273.7509403612716,14:20:00,272.2490596387284,273.7509403612716,buy
155,273.8,14:25:00,2020-12-28,84.98605233669991,closed,100.0,274.649860523367,14:55:00,273.322331609557,274.649860523367,buy
