,buyprice,buytime,date,pnl,quantity,sellprice,selltime,sl,type
247,425.4,14:42:00,2021-07-09,-389.9999999999977,100.0,421.5,14:31:00,425.4,sell
248,425.4,14:45:00,2021-07-09,-154.99999999999545,100.0,423.85,15:15:00,421.5,buy
249,428.5,09:37:00,2021-07-12,-235.00000000000227,100.0,426.15,13:15:00,426.15,buy
250,427.4,15:15:00,2021-07-12,-125.0,100.0,426.15,13:16:00,428.5,sell
251,429.1,15:15:00,2021-07-13,54.99999999999545,100.0,429.65,09:33:00,431.75,sell
252,430.0,12:48:00,2021-07-14,-275.0,100.0,427.25,09:32:00,430.0,sell
253,430.0,12:49:00,2021-07-14,105.00000000000114,100.0,431.05,15:15:00,427.25,buy
254,432.45,10:41:00,2021-07-15,-230.00000000000114,100.0,430.15,10:04:00,432.45,sell
255,432.45,10:43:00,2021-07-15,-84.99999999999659,100.0,431.6,15:15:00,430.15,buy
256,430.4,15:15:00,2021-07-16,35.000000000002274,100.0,430.75,09:57:00,432.45,sell
257,427.95,10:23:00,2021-07-19,69.99999999999886,100.0,428.65,15:15:00,422.0,buy
258,420.7,15:15:00,2021-07-20,365.0000000000034,100.0,424.35,09:36:00,426.9,sell
259,426.1,10:35:00,2021-07-22,-255.00000000000114,100.0,423.55,14:16:00,423.55,buy
260,421.8,15:15:00,2021-07-22,175.0,100.0,423.55,14:17:00,426.1,sell
261,424.3,10:15:00,2021-07-23,-130.00000000000114,100.0,423.0,09:30:00,424.3,sell
262,424.3,10:18:00,2021-07-23,-130.00000000000114,100.0,423.0,10:39:00,423.0,buy
263,424.3,13:33:00,2021-07-23,-130.00000000000114,100.0,423.0,10:40:00,424.3,sell
264,423.75,15:15:00,2021-07-26,39.999999999997726,100.0,424.15,10:21:00,427.4,sell
265,426.2,09:30:00,2021-07-27,400.0,100.0,430.2,15:15:00,424.25,buy
266,425.8,15:15:00,2021-07-28,184.9999999999966,100.0,427.65,09:39:00,430.45,sell
267,429.4,11:02:00,2021-07-29,-334.9999999999966,100.0,426.05,10:26:00,429.4,sell
268,429.4,11:03:00,2021-07-29,1155.0000000000011,100.0,440.95,15:15:00,426.05,buy
269,431.35,15:15:00,2021-07-30,654.9999999999955,100.0,437.9,09:31:00,444.35,sell
270,435.75,11:11:00,2021-08-02,-285.0000000000023,100.0,432.9,09:41:00,435.75,sell
271,435.75,11:12:00,2021-08-02,-69.99999999999886,100.0,435.05,15:15:00,432.9,buy
272,436.75,09:34:00,2021-08-03,960.0000000000023,100.0,446.35,15:15:00,433.6,buy
273,448.0,10:51:00,2021-08-04,1035.0000000000023,100.0,458.35,15:15:00,441.7,buy
274,441.75,15:15:00,2021-08-05,1025.0,100.0,452.0,09:30:00,461.65,sell
275,435.65,15:15:00,2021-08-06,550.0,100.0,441.15,10:32:00,446.95,sell
276,440.0,09:54:00,2021-08-09,-430.00000000000114,100.0,435.7,12:50:00,435.7,buy
277,433.1,15:15:00,2021-08-09,259.9999999999966,100.0,435.7,12:51:00,440.0,sell
278,426.8,15:15:00,2021-08-10,719.9999999999989,100.0,434.0,09:35:00,436.3,sell
279,431.9,09:30:00,2021-08-11,-344.99999999999886,100.0,428.45,09:38:00,428.45,buy
280,428.1,15:15:00,2021-08-11,34.99999999999659,100.0,428.45,09:39:00,431.9,sell
281,426.95,15:15:00,2021-08-12,-14.999999999997726,100.0,426.8,09:35:00,430.45,sell
282,430.35,14:40:00,2021-08-13,-200.0,100.0,428.35,09:33:00,430.35,sell
283,430.35,14:41:00,2021-08-13,64.99999999999773,100.0,431.0,15:15:00,428.35,buy
284,425.0,15:15:00,2021-08-16,355.00000000000114,100.0,428.55,10:42:00,433.9,sell
285,425.2,09:33:00,2021-08-17,-250.0,100.0,422.7,09:57:00,422.7,buy
286,422.0,15:15:00,2021-08-17,69.99999999999886,100.0,422.7,09:58:00,425.2,sell
287,423.2,09:30:00,2021-08-18,-309.9999999999966,100.0,420.1,12:51:00,420.1,buy
288,423.2,13:59:00,2021-08-18,-309.9999999999966,100.0,420.1,12:58:00,423.2,sell
289,423.2,14:00:00,2021-08-18,-309.9999999999966,100.0,420.1,14:34:00,420.1,buy
290,414.4,09:30:00,2021-08-20,-514.9999999999977,100.0,409.25,11:06:00,409.25,buy
291,407.1,15:15:00,2021-08-20,214.99999999999773,100.0,409.25,11:07:00,414.4,sell
292,412.4,13:24:00,2021-08-23,-284.9999999999966,100.0,409.55,09:30:00,412.4,sell
293,412.4,13:25:00,2021-08-23,-284.9999999999966,100.0,409.55,14:34:00,409.55,buy
294,409.6,15:15:00,2021-08-23,-5.000000000001137,100.0,409.55,14:35:00,412.4,sell
295,410.95,09:32:00,2021-08-24,660.0000000000023,100.0,417.55,15:15:00,408.25,buy
296,416.05,15:15:00,2021-08-25,305.00000000000114,100.0,419.1,09:43:00,421.2,sell
297,414.85,09:30:00,2021-08-26,-230.00000000000114,100.0,412.55,12:08:00,412.55,buy
298,410.7,15:15:00,2021-08-26,185.00000000000227,100.0,412.55,12:12:00,414.85,sell
299,410.6,10:15:00,2021-08-27,-280.00000000000114,100.0,407.8,09:30:00,410.6,sell
300,410.6,10:16:00,2021-08-27,189.99999999999773,100.0,412.5,15:15:00,407.8,buy
301,415.9,09:55:00,2021-08-30,-209.9999999999966,100.0,413.8,09:35:00,415.9,sell
302,415.9,10:04:00,2021-08-30,690.0000000000034,100.0,422.8,15:15:00,413.8,buy
303,423.5,11:37:00,2021-08-31,-450.0,100.0,419.0,09:47:00,423.5,sell
304,423.5,11:38:00,2021-08-31,319.99999999999886,100.0,426.7,15:15:00,419.0,buy
305,428.5,09:30:00,2021-09-01,89.99999999999773,100.0,429.4,15:15:00,425.25,buy
306,431.25,09:31:00,2021-09-02,-250.0,100.0,428.75,09:42:00,428.75,buy
307,431.25,11:14:00,2021-09-02,-250.0,100.0,428.75,09:44:00,431.25,sell
308,431.25,11:15:00,2021-09-02,-175.0,100.0,429.5,15:15:00,428.75,buy
309,434.0,09:30:00,2021-09-03,-260.0000000000023,100.0,431.4,10:29:00,431.4,buy
310,431.8,15:15:00,2021-09-03,-40.00000000000341,100.0,431.4,10:30:00,434.0,sell
311,430.9,15:15:00,2021-09-06,70.00000000000455,100.0,431.6,09:54:00,433.75,sell
312,428.85,15:15:00,2021-09-07,-75.0,100.0,428.1,09:51:00,431.5,sell
313,430.7,09:35:00,2021-09-08,75.0,100.0,431.45,15:15:00,427.8,buy
314,432.2,15:15:00,2021-09-09,-194.99999999999886,100.0,430.25,12:42:00,433.75,sell
315,432.45,12:48:00,2021-09-13,-244.99999999999886,100.0,430.0,09:58:00,432.45,sell
316,432.45,12:49:00,2021-09-13,69.99999999999886,100.0,433.15,15:15:00,430.0,buy
317,435.3,09:30:00,2021-09-14,-119.99999999999886,100.0,434.1,12:44:00,434.1,buy
318,432.8,15:15:00,2021-09-14,130.00000000000114,100.0,434.1,12:45:00,435.3,sell
319,433.1,09:30:00,2021-09-15,1019.9999999999989,100.0,443.3,15:15:00,431.55,buy
320,448.0,10:19:00,2021-09-16,-350.0,100.0,444.5,09:56:00,448.0,sell
321,448.0,10:20:00,2021-09-16,1564.9999999999977,100.0,463.65,15:15:00,444.5,buy
322,454.6,15:15:00,2021-09-17,994.9999999999989,100.0,464.55,09:35:00,471.75,sell
323,449.8,09:30:00,2021-09-20,-265.0000000000034,100.0,447.15,12:00:00,447.15,buy
324,437.7,15:15:00,2021-09-20,944.9999999999989,100.0,447.15,12:01:00,449.8,sell
325,437.75,15:15:00,2021-09-21,-139.99999999999773,100.0,436.35,10:14:00,441.25,sell
326,441.9,09:33:00,2021-09-22,-289.9999999999977,100.0,439.0,10:31:00,439.0,buy
327,438.0,15:15:00,2021-09-22,100.0,100.0,439.0,10:32:00,441.9,sell
328,445.35,09:35:00,2021-09-23,469.99999999999886,100.0,450.05,15:15:00,442.3,buy
329,441.1,15:15:00,2021-09-24,569.9999999999989,100.0,446.8,09:30:00,451.8,sell
330,447.85,09:30:00,2021-09-27,-105.00000000000114,100.0,446.8,15:15:00,443.3,buy
331,445.6,15:15:00,2021-09-28,384.9999999999966,100.0,449.45,11:59:00,455.65,sell
332,442.5,09:34:00,2021-09-29,1810.0000000000023,100.0,460.6,15:15:00,439.2,buy
333,461.3,10:12:00,2021-09-30,-385.0000000000023,100.0,457.45,12:10:00,457.45,buy
334,453.5,15:15:00,2021-09-30,394.99999999999886,100.0,457.45,12:15:00,461.3,sell
335,452.1,10:22:00,2021-10-01,-45.00000000000455,100.0,451.65,15:15:00,444.05,buy
336,458.3,12:13:00,2021-10-04,489.9999999999977,100.0,463.2,15:15:00,451.65,buy
337,462.95,09:38:00,2021-10-05,235.00000000000227,100.0,465.3,15:15:00,458.75,buy
338,457.5,15:15:00,2021-10-06,675.0,100.0,464.25,10:20:00,471.0,sell
339,463.35,09:39:00,2021-10-07,-235.00000000000227,100.0,461.0,09:47:00,461.0,buy
340,457.3,15:15:00,2021-10-07,369.99999999999886,100.0,461.0,09:48:00,463.35,sell
341,461.9,10:09:00,2021-10-08,-384.9999999999966,100.0,458.05,09:30:00,461.9,sell
342,461.9,10:39:00,2021-10-08,-384.9999999999966,100.0,458.05,10:20:00,461.9,sell
343,461.9,10:40:00,2021-10-08,-384.9999999999966,100.0,458.05,11:06:00,458.05,buy
344,462.0,09:32:00,2021-10-11,700.0,100.0,469.0,15:15:00,458.65,buy
345,475.0,09:56:00,2021-10-12,750.0,100.0,482.5,15:15:00,468.2,buy
346,481.8,15:15:00,2021-10-13,-115.00000000000341,100.0,480.65,11:46:00,485.9,sell
347,485.0,09:30:00,2021-10-14,660.0000000000023,100.0,491.6,15:15:00,482.15,buy
348,497.05,10:26:00,2021-10-18,-455.00000000000114,100.0,492.5,10:02:00,497.05,sell
349,497.05,10:27:00,2021-10-18,69.99999999999886,100.0,497.75,15:15:00,492.5,buy
350,487.3,15:15:00,2021-10-19,1105.0000000000011,100.0,498.35,10:03:00,504.0,sell
351,490.45,09:32:00,2021-10-20,869.9999999999989,100.0,499.15,15:15:00,483.25,buy
